constraint,expression
lower,2*0.03814644057686112 * (glai / 1.6819045489426605)**2 + 0.3336636107867087 *  glai / 1.6819045489426605 - 0.05514750078344599
upper,0.5827304274769122 * 1.4663274265772523 * glai + 2*1.6546038826746508e-16
linear_regression,7.888609052210118e-30 + 0.5754806937032946 * glai
