,lai_q05,lai_q50,lai_q95,ccc_q05,ccc_q50,ccc_q95,sensing_date,agdd,farm,parcel,variety,cab_q50
0,0.33913821578025816,0.39085710048675537,0.923353374004364,0.06518507301807404,0.11543858051300049,0.36674392223358154,2022-03-05,629,Arenenberg,Broatefaeld,Wiwa,29.534727748130614
1,0.3254357874393463,0.3811178207397461,0.5526676654815674,0.06386271119117737,0.11077140271663666,0.22111110687255864,2022-03-07,632,Arenenberg,Broatefaeld,Wiwa,29.064870937189557
2,0.34969791769981384,0.4103177487850189,0.7148317098617554,0.08480787873268128,0.12262935936450958,0.3135858476161957,2022-03-10,641,Arenenberg,Broatefaeld,Wiwa,29.886437944160143
3,0.39932265877723694,0.44827210903167725,0.732426404953003,0.11395879834890366,0.15057674050331116,0.2713528394699097,2022-03-20,719,Arenenberg,Broatefaeld,Wiwa,33.590477183283916
4,0.4277657359838486,0.4967566579580307,1.0567638874053955,0.13263634592294693,0.18305155634880066,0.37942373752593994,2022-03-22,736,Arenenberg,Broatefaeld,Wiwa,36.84934130551021
5,0.46796048879623414,0.600229412317276,0.9760037660598755,0.13953109309077263,0.229678675532341,0.37807029485702515,2022-03-25,766,Arenenberg,Broatefaeld,Wiwa,38.26514842810383
6,0.45084357261657715,0.5631549954414368,0.8035333752632141,0.13713704645633698,0.2010365128517151,0.2962220013141632,2022-03-27,790,Arenenberg,Broatefaeld,Wiwa,35.69825616021214
7,1.0833003759384154,1.157025694847107,2.2309369087219246,0.4260742008686066,0.4617759883403778,0.9138056397438052,2022-04-11,903,Arenenberg,Broatefaeld,Wiwa,39.91060789720823
8,1.2195512294769286,1.3214622139930725,3.3776509761810303,0.46753178983926774,0.5118911266326904,1.6667137145996094,2022-04-14,948,Arenenberg,Broatefaeld,Wiwa,38.736720672920725
9,1.3095395028591157,1.5481391549110413,3.3812320232391357,0.5099901258945465,0.6137576103210449,1.6680560111999512,2022-04-19,1006,Arenenberg,Broatefaeld,Wiwa,39.644860629877456
10,1.3088179588317872,1.5443331003189087,2.3518437862396246,0.5126214027404785,0.6097051501274109,0.9608127474784854,2022-04-21,1027,Arenenberg,Broatefaeld,Wiwa,39.48015813437563
11,1.4328886270523071,1.7281510829925537,2.221987867355347,0.56543447971344,0.7239633202552795,0.9469439744949342,2022-05-01,1138,Arenenberg,Broatefaeld,Wiwa,41.89236273263956
12,1.7883915662765504,2.0324583053588867,2.616973352432251,0.7222357869148255,0.878099799156189,1.1236875772476196,2022-05-09,1249,Arenenberg,Broatefaeld,Wiwa,43.203828429884375
13,1.7934249818325043,2.3086832761764526,3.3785951137542725,0.7629340857267379,1.0556972026824951,1.6672691106796265,2022-05-11,1288,Arenenberg,Broatefaeld,Wiwa,45.727242605183065
14,1.6157841861248017,2.6775941848754883,3.3798668384552,0.6827745169401169,1.2539284825325012,1.6683777570724487,2022-05-14,1346,Arenenberg,Broatefaeld,Wiwa,46.830415513126404
15,1.5000936150550843,2.574439764022827,3.3776509761810303,0.629323098063469,1.1902762651443481,1.6672691106796265,2022-05-19,1448,Arenenberg,Broatefaeld,Wiwa,46.23438006894436
16,2.3014556527137757,3.987243890762329,3.987243890762329,1.0711907267570495,1.9887549877166748,1.9887549877166748,2022-05-26,1575,Arenenberg,Broatefaeld,Wiwa,49.87793679549512
17,1.5345293998718261,2.5081088542938232,3.1476428508758554,0.6356655240058899,1.1118520498275757,1.4441468000411992,2022-06-10,1823,Arenenberg,Broatefaeld,Wiwa,44.33029483246356
18,1.6515681505203248,2.2638750076293945,2.9067598819732665,0.6712705969810486,0.9676789045333862,1.2788713693618774,2022-06-13,1884,Arenenberg,Broatefaeld,Wiwa,42.74436094184751
19,1.996367883682251,2.333085060119629,2.6719101428985597,0.8261612296104431,0.9890702962875366,1.1426467895507812,2022-06-15,1926,Arenenberg,Broatefaeld,Wiwa,42.393237743197496
20,1.6357268691062927,2.1206952333450317,3.987243890762329,0.6655076444149017,0.9030050337314606,1.9891802072525024,2022-06-18,1998,Arenenberg,Broatefaeld,Wiwa,42.58061316557616
21,2.893109083175659,3.5362908840179443,4.051304817199707,1.1844439148902892,1.5146070718765259,1.9887549877166748,2022-06-20,2051,Arenenberg,Broatefaeld,Wiwa,42.83038702278996
22,1.845683068037033,2.17004656791687,3.987243890762329,0.7368309319019318,0.8792914152145386,1.9891802072525024,2022-06-23,2115,Arenenberg,Broatefaeld,Wiwa,40.51947217236964
23,1.1584268808364868,1.3071023225784302,2.177464628219605,0.4324844181537628,0.5066777467727661,0.9279353976249696,2022-06-25,2152,Arenenberg,Broatefaeld,Wiwa,38.76343404954542
24,0.9964596509933472,1.0973867177963257,2.0490529537200928,0.37611997723579405,0.412080854177475,0.8837985754013062,2022-06-30,2258,Arenenberg,Broatefaeld,Wiwa,37.551106414426
25,0.9563989758491516,1.0312325954437256,2.2904839038848883,0.3601283073425293,0.3940907418727875,1.0249601125717165,2022-07-03,2316,Arenenberg,Broatefaeld,Wiwa,38.21550478660108
26,0.9293750047683715,0.9925538301467896,1.9301975488662724,0.3467911660671234,0.37735748291015625,0.8326394557952882,2022-07-05,2357,Arenenberg,Broatefaeld,Wiwa,38.0188430540184
27,0.9609741389751434,1.0638085007667542,3.9805305004119873,0.3623493254184723,0.4055388420820236,1.985705852508545,2022-07-08,2416,Arenenberg,Broatefaeld,Wiwa,38.12141393772714
28,1.041023564338684,1.1412873268127441,2.778243303298951,0.3935872256755829,0.4245985746383667,1.247904133796692,2022-07-10,2456,Arenenberg,Broatefaeld,Wiwa,37.2034775698541
