date,r2,n_pixels,r2_cab
20220310,0.9695959027558285,136,0.6976279711615864
20220325,0.9606693491392143,136,0.7010865348411677
20220414,0.9701672552634412,136,0.7418537884489629
20220516,0.9781976794872788,204,0.8941125491987024
20220618,0.9983513378150779,136,0.9815115383904809
