phenology [BBCH],greenLAI,Crop,ccc
31,,Winter Wheat,
31,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
31,,Winter Wheat,
31,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
30,2.23,Winter Wheat,1.338
59,3.1,Corn,2.1483
31,,Winter Wheat,
30,2.27,Winter Wheat,1.38243
58,5.9,Winter Barley,3.835
52,2.65,Winter Barley,1.696
30,2,Winter Wheat,1.122
30,2.34,Winter Wheat,1.46484
52,2.04,Corn,1.39332
29,1.75,Winter Wheat,1.0115
31,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
31,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
52,3.08,Corn,2.18988
59,5.94,Winter Barley,4.01544
52,4.08,Corn,2.74176
58,5.11,Winter Barley,3.41348
30,1.4,Winter Wheat,0.7616
52,1.89,Corn,1.34001
31,2.65,Winter Wheat,1.59265
75,3.18,Corn,1.25928
15,2.77,Winter Barley,1.33514
31,2.68,Winter Wheat,1.53564
31,2.94,Winter Wheat,1.62288
31,2.1,Winter Wheat,1.1718
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
31,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
39,,Winter Wheat,
59,3.1,Corn,2.1049
79,2.98,Corn,1.29928
53,1.82,Corn,1.23578
59,2.15,Corn,1.5136
59,6.23,Winter Barley,4.00589
75,3.21,Corn,1.42845
53,3.2,Corn,2.2112
53,2.84,Corn,1.95392
18,1.83,Winter Barley,1.04859
75,3.27,Corn,1.11507
31,2.67,Winter Wheat,1.53525
31,2.48,Winter Wheat,1.32432
31,2.35,Winter Wheat,1.40765
39,,Winter Wheat,
39,,Winter Wheat,
