 

stn;time;tre200d0
TAE;20220621;21.5
TAE;20220622;19.0
TAE;20220623;20.4
TAE;20220624;16.7
TAE;20220625;18.5
TAE;20220626;21.7
TAE;20220627;18.4
TAE;20220628;17.0
TAE;20220629;19.9
TAE;20220630;20.5
TAE;20220701;14.2
TAE;20220702;17.8
TAE;20220703;22.3
TAE;20220704;19.3
TAE;20220705;20.1
TAE;20220706;19.1
TAE;20220707;18.0
TAE;20220708;17.1
TAE;20220709;17.5
TAE;20220710;18.1
TAE;20220711;17.4
TAE;20220712;18.4
TAE;20220713;21.3
TAE;20220714;25.7
TAE;20220715;22.0
TAE;20220716;20.0
TAE;20220717;20.0
TAE;20220718;21.5
TAE;20220719;23.2
TAE;20220720;24.1
TAE;20220721;21.6
TAE;20220722;23.6
TAE;20220723;21.2
TAE;20220724;23.0
TAE;20220725;26.0
TAE;20220726;20.6
TAE;20220727;19.0
TAE;20220728;19.8
TAE;20220729;17.9
TAE;20220730;20.7
TAE;20220731;22.4
TAE;20220801;22.4
