Datum,LINDAU - Temperatur Durchschnitt +2 m (°C)
19.07.2022,25.6
20.07.2022,24.7
21.07.2022,22.2
22.07.2022,24.4
23.07.2022,21.4
24.07.2022,24.3
25.07.2022,26.2
26.07.2022,21.8
27.07.2022,21.1
28.07.2022,21.1
29.07.2022,18.1
30.07.2022,19.8
31.07.2022,22.5
01.08.2022,23.5
