,Unnamed: 0,scene_id,date,gdd_cumsum,point_id,lai_all,lai_q05_all,lai_q95_all,ccc_all,ccc_q05_all,ccc_q95_all,error_all,SCL,B02,B03,B04,B05,B06,B07,B8A,B11,B12,lai_stemelongation-endofheading,lai_q05_stemelongation-endofheading,lai_q95_stemelongation-endofheading,ccc_stemelongation-endofheading,ccc_q05_stemelongation-endofheading,ccc_q95_stemelongation-endofheading,error_stemelongation-endofheading,lai_flowering-fruitdevelopment-plantdead,lai_q05_flowering-fruitdevelopment-plantdead,lai_q95_flowering-fruitdevelopment-plantdead,ccc_flowering-fruitdevelopment-plantdead,ccc_q05_flowering-fruitdevelopment-plantdead,ccc_q95_flowering-fruitdevelopment-plantdead,error_flowering-fruitdevelopment-plantdead,lai_germination-endoftillering,lai_q05_germination-endoftillering,lai_q95_germination-endoftillering,ccc_germination-endoftillering,ccc_q05_germination-endoftillering,ccc_q95_germination-endoftillering,error_germination-endoftillering,lai (Phenology),lai_q05 (Phenology),lai_q95 (Phenology),ccc (Phenology),ccc_q05 (Phenology),ccc_q95 (Phenology),Macro-Stage,parcel,location
218,8.0,S2A_MSIL2A_20220414T102601_N0400_R108_T32TMT_20220414T155046.SAFE,2022-04-14,683.7999999999998,3,1.4376374615563288,0.406909253862169,3.858758105172051,0.5543641448020935,0.0836964684228102,1.8186225096384685,0.4199991391764747,4.0,0.0525333330863051,0.0911555563410123,0.0841222215029928,0.1444999956422382,0.2799000044663747,0.3103222284052107,0.322566678126653,0.2343444426854451,0.1625111119614707,1.4150939385096233,0.5961736639340719,3.276716126335992,0.5452939735518562,0.151972739232911,1.532978230052524,0.392217089732488,,,,,,,,0.8563558260599772,0.5575738151868185,1.3297615183724298,0.3137627012199825,0.1449703102310498,0.6582963466644287,0.0193535192973083,0.8563558260599772,0.5575738151868185,1.3297615183724298,0.3137627012199825,0.1449703102310498,0.6582963466644287,germination - end of tillering,Bramenwies,Strickhof
219,9.0,S2B_MSIL2A_20220419T102559_N0400_R108_T32TMT_20220419T140845.SAFE,2022-04-19,738.1999999999999,3,2.259114795260959,0.9256982405980428,5.985789087083605,0.9496068358421326,0.2904893126752641,2.8367406792110867,0.3414242135153876,4.0,0.0437000000642405,0.0776888885431819,0.0602666657004091,0.1170000011722246,0.3020444479253557,0.364299992720286,0.3752222259839375,0.2016333325041664,0.1328777737087673,2.0458739731046887,0.8865027891265022,4.744432979159885,0.8423701590961881,0.2836538619465298,2.106084452735053,0.3181843525833553,,,,,,,,1.256072998046875,0.8805200987392001,1.8062703874376085,0.5538211729791429,0.2815331750445896,0.9105496207873026,0.019633996196919,1.256072998046875,0.8805200987392001,1.8062703874376085,0.5538211729791429,0.2815331750445896,0.9105496207873026,germination - end of tillering,Bramenwies,Strickhof
220,10.0,S2A_MSIL2A_20220421T101601_N0400_R065_T32TMT_20220421T134744.SAFE,2022-04-21,758.6999999999999,3,2.534795151816474,1.091585185792711,6.359037293328179,1.0734493202633328,0.3578708701663547,3.0535820855034723,0.3191975123352474,4.0,0.0403222222295072,0.0758666669329007,0.0584111118482218,0.1163555532693862,0.3252777722146776,0.3859777881039513,0.3962888916333516,0.2013555533356136,0.1235333341691229,2.3084497451782227,1.0536242193645902,5.172558890448676,0.9613868925306532,0.3518570264180501,2.2952456209394665,0.2987079289224412,,,,,,,,1.4084255297978718,0.9753732350137498,1.8949226538340247,0.6135591400994195,0.3500107791688707,1.0307279957665338,0.0194196328520774,1.4084255297978718,0.9753732350137498,1.8949226538340247,0.6135591400994195,0.3500107791688707,1.0307279957665338,germination - end of tillering,Bramenwies,Strickhof
221,11.0,S2A_MSIL2A_20220501T101601_N0400_R065_T32TMT_20220501T154819.SAFE,2022-05-01,860.1999999999997,3,3.673921585083008,1.8823544316821628,7.347645017835829,1.819952819082472,0.7781630357106527,4.021886746088664,0.1625027573770947,4.0,0.0264000000639094,0.0479333334498935,0.0269666668027639,0.0710000014967388,0.3047777679231431,0.3974666661686367,0.4083777765432994,0.1255666696363025,0.0570333339273929,3.350319570965237,1.840917666753133,5.976374414232042,1.648361947801378,0.7800012098418342,3.172399255964491,0.1553042646911409,3.677828656302558,1.9101444880167644,7.308553536732991,1.821640213330587,0.7999680638313293,4.016140540440877,0.1616509358088175,,,,,,,,3.350319570965237,1.840917666753133,5.976374414232042,1.648361947801378,0.7800012098418342,3.172399255964491,stem elongation - end of heading,Bramenwies,Strickhof
222,12.0,S2A_MSIL2A_20220511T101601_N0400_R065_T32TMT_20220511T174519.SAFE,2022-05-11,998.1,3,4.554834365844727,2.2147457864549427,7.595979796515571,2.6088630623287625,1.2085521353615656,5.033160156673855,0.1582440303431617,4.0,0.0131111110871036,0.0321888890531328,0.017422222221891,0.0542444454299079,0.2793777816825443,0.4081777731577555,0.415400011671914,0.1177111110753483,0.0560222222573227,4.066539843877156,2.153051667743259,6.196004867553711,2.302952448527018,1.1690450112024944,4.132755650414361,0.1553539517852995,4.550500975714789,2.242255449295044,7.607358031802708,2.611254851023356,1.2284186946021185,4.94762659072876,0.1578470220168431,,,,,,,,4.066539843877156,2.153051667743259,6.196004867553711,2.302952448527018,1.1690450112024944,4.132755650414361,stem elongation - end of heading,Bramenwies,Strickhof
223,13.0,S2A_MSIL2A_20220514T102601_N0400_R108_T32TMT_20220514T165714.SAFE,2022-05-14,1053.8,3,4.945080704159206,2.4826007419162326,7.6426412794325085,2.8856844107309976,1.447879605823093,5.260361141628689,0.1514162007305357,4.0,0.0160777778882119,0.0288888890710141,0.0157333335114849,0.0485333345002598,0.258077773782942,0.4076666699515449,0.4198222292794121,0.1081555551952785,0.0509666663904984,4.392879221174452,2.3432836532592773,6.251224623786079,2.5417475170559354,1.3734383185704548,4.361469109853108,0.1500997195641199,4.943122386932373,2.505026419957479,7.665770848592122,2.901260084576077,1.4712032344606187,5.16827588611179,0.1504866348372565,,,,,,,,4.392879221174452,2.3432836532592773,6.251224623786079,2.5417475170559354,1.3734383185704548,4.361469109853108,stem elongation - end of heading,Bramenwies,Strickhof
224,14.0,S2B_MSIL2A_20220516T101559_N0400_R065_T32TMT_20220516T133430.SAFE,2022-05-16,1092.1999999999998,3,4.875107288360596,2.417344013849894,7.667206817203098,2.6495245032840304,1.1890103684531317,4.967917283376058,0.1901431994305716,4.0,0.044033333659172,0.0517888884577486,0.0314666670229699,0.0671888896160655,0.2949888904889424,0.4607222212685479,0.4810222155518002,0.1332222256395552,0.062599999209245,4.293749491373698,2.322389523188273,6.240405983395046,2.291895574993557,1.1307549344168768,4.153615580664741,0.1886395381556617,4.851428243849012,2.41706919670105,7.66465605629815,2.667240301767985,1.1811276806725397,4.959028085072835,0.1886467585961024,,,,,,,,4.293749491373698,2.322389523188273,6.240405983395046,2.291895574993557,1.1307549344168768,4.153615580664741,stem elongation - end of heading,Bramenwies,Strickhof
225,15.0,S2B_MSIL2A_20220526T101559_N0400_R065_T32TMT_20220526T134056.SAFE,2022-05-26,1276.5,3,4.591260135173798,1.700258508324623,7.586830496788025,2.169242709875107,0.5998147204518318,4.532719790935516,0.4269428923726082,4.0,0.0978500004857778,0.1053499998524785,0.0859000012278556,0.1319249980151653,0.3531000018119812,0.5077999979257584,0.5278999954462051,0.2038999982178211,0.1180250030010938,4.009571820497513,1.5760370343923569,6.176158607006073,1.8145112544298168,0.555111113935709,3.705085188150406,0.4209751486778259,4.577050566673279,1.688658446073532,7.573720157146454,2.1477272510528564,0.590427927672863,4.520615994930267,0.4248589798808098,,,,,,,,4.009571820497513,1.5760370343923569,6.176158607006073,1.8145112544298168,0.555111113935709,3.705085188150406,stem elongation - end of heading,Bramenwies,Strickhof
226,16.0,S2A_MSIL2A_20220610T101611_N0400_R065_T32TMT_20220610T181610.SAFE,2022-06-10,1514.4,3,4.351943598853217,2.102328578631083,7.503790272606744,2.310842235883077,1.0234493215878804,4.713766839769152,0.1477943195237053,4.0,0.0239111114707258,0.0397666667898496,0.0241888887766334,0.060344443966945,0.2681333223978678,0.3899888926082187,0.4072555502255757,0.0960000000066227,0.0457111100355784,3.9154573811425104,2.046973956955804,6.144673294491238,2.0674149990081787,0.9904861847559612,3.914743291007148,0.1428473393122355,4.340337144003974,2.1192896233664618,7.505173524220784,2.314111842049493,1.0273969637023077,4.70260567135281,0.1464238249593311,,,,,,,,3.9154573811425104,2.046973956955804,6.144673294491238,2.0674149990081787,0.9904861847559612,3.914743291007148,stem elongation - end of heading,Bramenwies,Strickhof
227,17.0,S2A_MSIL2A_20220613T103031_N0400_R108_T32TMT_20220613T235021.SAFE,2022-06-13,1574.6,3,5.043967088063558,2.599335643980238,7.66603962580363,2.652954975763957,1.2101952499813504,4.878424644470215,0.1519978278213077,4.0,0.0318111112962166,0.0472333331902821,0.027099999702639,0.0730777771936522,0.3046333293120066,0.4522444473372565,0.4794444408681657,0.1149999987747934,0.047688890248537,4.463303460015191,2.477890756395128,6.276184346940783,2.28100143538581,1.146982126765781,4.092750549316406,0.151448991563585,5.040123992496067,2.591371032926771,7.678486665089925,2.6513307889302573,1.218155410554674,4.891172991858588,0.1506530427270465,,,,,,,,4.751713726255629,2.5346308946609497,6.977335506015354,2.4661661121580334,1.1825687686602273,4.491961770587498,flowering - fruit development - plant dead,Bramenwies,Strickhof
